"","area_id","representativeness_norm","h_items","h_items_norm","f_wine_jan","f_wine_feb","f_wine_mar","f_wine_apr","f_wine_may","f_wine_jun","f_wine_jul","f_wine_aug","f_wine_sep","f_wine_oct","f_wine_nov","f_wine_dec"
"1","E01000001",0.284288112466415,3.08388323994057,0.754473706480771,0.0257318952234206,0.0310296191819464,0.0326436781609195,0.0427920598763423,0.0359452549255527,0.0357086427555696,0.0403011514614703,0.0333333333333333,0.033699413269144,0.0378504672897196,0.0355159064130618,0.0328073738478363
"2","E01000002",0.211394099069902,3.10980799408879,0.760816211637415,0.0368239355581128,0.0346363186541316,0.0317854482244847,0.0572490706319703,0.0479552093476144,0.0425254369945213,0.0317965023847377,0.0290816326530612,0.0323724007561437,0.0362860192102455,0.056802813091696,0.0521905673928657
"3","E01000003",0.242093642431441,3.24651508408476,0.794261675316335,0.0526398988302245,0.0525202678886147,0.047633776678008,0.0458530006743088,0.0435733512786003,0.0407539480387163,0.038255033557047,0.0435814821095472,0.046232574554438,0.0509729636645428,0.0415496911847277,0.0528667163067759
"4","E01000005",0.412035836790827,3.19584185198246,0.781864441611625,0.0193816036818565,0.0230317954660679,0.0186124125537514,0.0167976158222704,0.0184897853633307,0.0160661468136596,0.0160855957493267,0.0137007998732874,0.0118115942028986,0.0122538895773097,0.0125843644544432,0.0223048327137546
"5","E01000006",0.165697600350299,3.19003131606505,0.780442890849433,0.00649542367877177,0.00126542233470421,0.00512543835985972,0.00486486486486486,0.00315763905756619,0.00291050206160563,0.00338327694538424,0.003996003996004,0.0050520059435364,0.00572409845449342,0.0079719387755102,0.0127081507449606
"6","E01000007",0.160021269091707,3.2521685002039,0.795644786634703,0.00177619893428064,0.0084985835694051,0.00589225589225589,0.00697237865379458,0.00513950073421439,0.00452368281000532,0.00405770964833183,0.00781671159029649,0.00327868852459016,0.00410046130189646,0.00911577028258888,0.0142820709002805
"7","E01000008",0.180548666730835,3.3825397572016,0.827540185335824,0.0325520833333333,0.0431602048280907,0.0243572395128552,0.0273151232511659,0.0211466165413534,0.0372507869884575,0.0265888456549935,0.00966850828729282,0.0100882723833544,0.0121065375302663,0.0189873417721519,0.0130293159609121
"8","E01000009",0.158430941088429,3.22262793442462,0.788417671202323,0.0054033191817831,0.00452079566003617,0.00477489768076398,0.00367107195301028,0.00205268559698939,0.00242802636142907,0.00713800135961931,0.00249554367201426,0.00173761946133797,0.00650462170489558,0.00566772936592278,0.0106615636960087
"9","E01000010",0.154674957137291,3.27282287801145,0.800697891362433,0.00223992035838726,0.0075942500678058,0.00648864487147492,0.00671301846080077,0.00389016018306636,0.00479185384845762,0.00376766091051805,0.00277178934400986,0.00308555399719495,0.0086264100862641,0.00725639253628196,0.0131578947368421
"10","E01000011",0.185060854072049,3.32387501109757,0.813187823398246,0.00996346728661574,0.0140296180826189,0.0091031692515172,0.0122767857142857,0.0130739795918367,0.010230179028133,0.0088255261371351,0.0130383247728171,0.0132684652808492,0.0140310959423587,0.0132808657156911,0.0166305133767173
"11","E01000012",0.171411480082022,3.1948081753287,0.781611552057906,0.00534330750734705,0.00366197183098592,0.00778105715052321,0.00826674014880132,0.00481540930979133,0.00934579439252336,0.0045477513895907,0.00722394220846233,0.00429069455618128,0.00848153214774282,0.00997719498289624,0.00988421349901158
"12","E01000013",0.0644720286471075,3.34450270108966,0.818234398937456,0.00192492781520693,0.0115384615384615,0.00181653042688465,0.0033195020746888,0.00338983050847458,0.00674373795761079,0.00180995475113122,0.00218340611353712,0.00727272727272727,0.00213371266002845,0.0135135135135135,0.0222551928783383
