"","area_id","representativeness_norm","h_items","h_items_norm","h_items_weight","h_items_weight_norm","f_fish_jan","f_fish_feb","f_fish_mar","f_fish_apr","f_fish_may","f_fish_jun","f_fish_jul","f_fish_aug","f_fish_sep","f_fish_oct","f_fish_nov","f_fish_dec","f_fish_weight_jan","f_fish_weight_feb","f_fish_weight_mar","f_fish_weight_apr","f_fish_weight_may","f_fish_weight_jun","f_fish_weight_jul","f_fish_weight_aug","f_fish_weight_sep","f_fish_weight_oct","f_fish_weight_nov","f_fish_weight_dec"
"1","E01000001",0.284288112466415,3.08388323994057,0.754473706480771,2.64636065817492,0.764969784029824,0.0235747303543914,0.024604293997806,0.0269731800766284,0.0196876016921575,0.0252669574372086,0.0243324379838837,0.0215529967522882,0.0173913043478261,0.0206108018655032,0.0186915887850467,0.0225551253997643,0.0274957037962818,0.020402599962938,0.0230125585048845,0.0266507023448254,0.020925664923229,0.0247820380184164,0.0234919246407008,0.0190756743541164,0.0180355931547223,0.0214501886141188,0.0197978705101892,0.0233460766200692,0.0276525129966282
"2","E01000002",0.211394099069902,3.10980799408879,0.760816211637415,2.63574472312327,0.761901090607916,0.0262370540851554,0.0195447798119743,0.0243357337968711,0.020817843866171,0.0204479065238559,0.0213931646230107,0.0295253236429707,0.0293367346938775,0.025992438563327,0.0266808964781217,0.0281309169596971,0.0217859707924348,0.0179472798653954,0.0132157910417582,0.0208641993296874,0.0200569779574344,0.0178511871635692,0.0154159948130428,0.0260390862815493,0.0243782832921764,0.0248047522904655,0.024082818709217,0.0245691132255238,0.021331371999463
"3","E01000003",0.242093642431441,3.24651508408476,0.794261675316335,2.73167110598593,0.789630033809416,0.0147012330066393,0.0133944307366937,0.00881534178781318,0.0106203641267701,0.0149730820995962,0.0130752249957548,0.0147651006711409,0.0150924198745125,0.0148226574907358,0.0211813328741174,0.015908665543702,0.0176842889054356,0.0155806548153749,0.0144938314553991,0.0110370629928239,0.012458883172934,0.0136833629319383,0.0149650697277264,0.0145927920019826,0.0142731543337311,0.0140289191155933,0.0212146413932033,0.0163623355150112,0.0191782864095295
"4","E01000005",0.412035836790827,3.19584185198246,0.781864441611625,2.74875538117434,0.794568496849521,0.0202891035198029,0.0254218874483957,0.0247095821834285,0.0240449742617177,0.0184251357641583,0.0204356009680022,0.0190698012955819,0.0254217153718223,0.0190579710144928,0.0209968332644913,0.0189116985376828,0.0215475698747074,0.0164543639092328,0.027493663128719,0.0253471231201575,0.0246667727139628,0.0161324562449508,0.0205321312737068,0.0189300767789759,0.028449709165917,0.0175185901526578,0.0205955414611702,0.0158763592122716,0.0238005678802782
"5","E01000006",0.165697600350299,3.19003131606505,0.780442890849433,2.71269236416487,0.78414394710118,0.0212577502214349,0.0202467573552673,0.0178041543026706,0.017027027027027,0.0150595093514695,0.0155226776618967,0.0152247462542291,0.0142357642357642,0.0148588410104012,0.0125930165998855,0.0121173469387755,0.0162138475021911,0.0177195001355994,0.0198370997379474,0.0208100673388723,0.0155727739583777,0.015816762523624,0.0164961830701508,0.0130090503495037,0.0169490148409303,0.0143696326834301,0.0130269842527035,0.0131104113852316,0.0167830892291751
"6","E01000007",0.160021269091707,3.2521685002039,0.795644786634703,2.66153190671062,0.769355258352822,0.028165440243593,0.0141643059490085,0.0145903479236813,0.0131402520783052,0.0234948604992658,0.0146354443853113,0.01487826871055,0.0164420485175202,0.0140089418777943,0.0176832393644285,0.0148890914615618,0.0181076256057128,0.0313428341251675,0.0144832311212793,0.0154217485964956,0.0143082413161424,0.0230276144663208,0.0137081251330575,0.0134017148010689,0.0146983889218455,0.0119583396543038,0.0155466293596975,0.0109527255249754,0.0173581683729556
"7","E01000008",0.180548666730835,3.3825397572016,0.827540185335824,2.76204754758435,0.798410794624217,0.0143229166666667,0.0182882223847842,0.0047361299052774,0.0186542305129913,0.0155075187969925,0.0120671563483736,0.0214007782101167,0.0248618784530387,0.0296343001261034,0.00907990314769976,0.0133614627285513,0.0157437567861021,0.0121896365106865,0.0127792289997991,0.00317484828547759,0.012795150370938,0.00830495270140478,0.0160987826739059,0.0141133517696475,0.016127541765143,0.016349757860288,0.00743489782756075,0.0119562041750193,0.0153962353995479
"8","E01000009",0.158430941088429,3.22262793442462,0.788417671202323,2.63033927121638,0.760338564591283,0.0162099575453493,0.0122061482820976,0.0173942701227831,0.0194566813509545,0.0119739993157715,0.0138744363510232,0.00781781101291638,0.0128342245989305,0.0130321459600348,0.0140362889421431,0.0216082182075806,0.0147621651175506,0.0120692871419054,0.0127733488694631,0.013600926505656,0.0174986087791591,0.00839626146470728,0.0125352319408809,0.00838212748365228,0.0174735787858533,0.0103981120504417,0.0141730551758124,0.0180197714943009,0.0128038885870289
"9","E01000010",0.154674957137291,3.27282287801145,0.800697891362433,2.74178566990863,0.792553798473013,0.0251368840219014,0.0173582858692704,0.0209633142001497,0.0254135698873172,0.0137299771167048,0.0233602875112309,0.020094191522763,0.0227902679396366,0.0255259467040673,0.0192435301924353,0.030062197650311,0.0424641148325359,0.0219138276066944,0.0145488316089728,0.0227762108218064,0.0210392339362564,0.0112727782579973,0.0182882557265599,0.0170149484581827,0.0174538294918612,0.017773775879848,0.0137789847013371,0.0254532029971365,0.0345822880525673
"10","E01000011",0.185060854072049,3.32387501109757,0.813187823398246,2.79657330195027,0.808390975813498,0.0229159747592162,0.0206547155105222,0.021577882670263,0.0208333333333333,0.0169005102040816,0.0227337311736289,0.028173794976239,0.024101145792177,0.0229986731534719,0.0219946909366705,0.0172159370388588,0.0256688358640636,0.0259787671860136,0.0217576692885796,0.0254759424615065,0.0246655645036181,0.0212802803677553,0.0204013218851922,0.02471590346045,0.02480570649283,0.0265829865581513,0.0273412385762373,0.0238442256794094,0.0251122432333106
