"","area_id","representativeness_norm","h_items","h_items_norm","h_items_weight","h_items_weight_norm","f_meat_red_jan","f_meat_red_feb","f_meat_red_mar","f_meat_red_apr","f_meat_red_may","f_meat_red_jun","f_meat_red_jul","f_meat_red_aug","f_meat_red_sep","f_meat_red_oct","f_meat_red_nov","f_meat_red_dec","f_meat_red_weight_jan","f_meat_red_weight_feb","f_meat_red_weight_mar","f_meat_red_weight_apr","f_meat_red_weight_may","f_meat_red_weight_jun","f_meat_red_weight_jul","f_meat_red_weight_aug","f_meat_red_weight_sep","f_meat_red_weight_oct","f_meat_red_weight_nov","f_meat_red_weight_dec"
"1","E01000001",0.284288112466415,3.08388323994057,0.754473706480771,2.64636065817492,0.764969784029824,0.0479198767334361,0.0509324557279423,0.0470498084291188,0.0466970387243736,0.0425627913972026,0.0474008532153579,0.0426631237082964,0.0386473429951691,0.045133142771175,0.0487538940809969,0.0378724120518431,0.0396812997969067,0.0579417564212153,0.0630149245298891,0.0516928942357114,0.0589920784927139,0.053936794920721,0.0563992311288491,0.0591120529624117,0.0443551034079949,0.0562736429691389,0.0582671728068226,0.0421866377536227,0.0414530504490432
"2","E01000002",0.211394099069902,3.10980799408879,0.760816211637415,2.63574472312327,0.761901090607916,0.0513233601841197,0.0418109846610589,0.0370002483238143,0.0426270136307311,0.0411392405063291,0.0391338377250196,0.0388371564842153,0.0533163265306123,0.0500945179584121,0.0416221985058698,0.0313767919935082,0.0390232224084271,0.0538132751203965,0.0444798545580779,0.0418385656120609,0.0480555279491179,0.0473208282822993,0.0429054905891053,0.0499846761129405,0.0642734607203165,0.0506843423957891,0.0423577032753569,0.0349686353512891,0.0347677220149813
"3","E01000003",0.242093642431441,3.24651508408476,0.794261675316335,2.73167110598593,0.789630033809416,0.051375276636105,0.0449418399718012,0.051809464893288,0.0482130815913688,0.0494616419919246,0.0475462727118356,0.0481543624161074,0.0501950144141089,0.0637021351685195,0.0477010504563458,0.0393037619314992,0.0536113179448995,0.0667348608230974,0.0550464930101088,0.0617240024232774,0.0557446183798498,0.0615276464051291,0.0599309363641982,0.0566509353507553,0.0640460864809448,0.0761156204139549,0.0662718926545327,0.0507680002848737,0.0591025927715942
"4","E01000005",0.412035836790827,3.19584185198246,0.781864441611625,2.74875538117434,0.794568496849521,0.0501069553380437,0.0488158180633012,0.0508953212245684,0.0497155242481712,0.0473881561934316,0.0500134444743211,0.0473105757333139,0.0443494099944563,0.0456521739130435,0.0428197714443068,0.0437992125984252,0.0475010326311442,0.0617886119933925,0.0473456510712968,0.0511318790903927,0.0499938963933881,0.0541965934613606,0.0620396074982134,0.0558505243709243,0.0538794763389422,0.049555719178366,0.0475586532743331,0.0467731911248567,0.0502258041218515
"5","E01000006",0.165697600350299,3.19003131606505,0.780442890849433,2.71269236416487,0.78414394710118,0.0481251845290818,0.0461879152167036,0.0431615861882924,0.0478378378378378,0.0412922030604809,0.0472956585010914,0.0570323827936201,0.0472027972027972,0.0344725111441308,0.0334859759587865,0.0385841836734694,0.0528045574057844,0.0584387026812832,0.0504289777111085,0.0537430018519623,0.0452004143589536,0.047801183823701,0.0518836280544455,0.074549872329376,0.0562584653191278,0.0333134180717712,0.034883005535739,0.0378464140743138,0.055368301098038
"6","E01000007",0.160021269091707,3.2521685002039,0.795644786634703,2.66153190671062,0.769355258352822,0.0370464349149962,0.0378895184135977,0.037317620650954,0.0455886296594261,0.0391581008321096,0.0431080361894625,0.0471145175834085,0.0334231805929919,0.0274217585692996,0.0376729882111738,0.0443634153752659,0.0374904361132364,0.0410011245766844,0.0346077880689729,0.0380971051758,0.0426657512549225,0.0432662988923023,0.039776388792408,0.0572467592919692,0.0322415956354191,0.0307516513080091,0.0397770678373104,0.0493074643245756,0.0338381645297809
"7","E01000008",0.180548666730835,3.3825397572016,0.827540185335824,2.76204754758435,0.798410794624217,0.0514322916666667,0.0599853694220922,0.0466847090663058,0.0353097934710193,0.0540413533834586,0.05299055613851,0.0583657587548638,0.0407458563535912,0.0586380832282472,0.0393462469733656,0.0358649789029536,0.0488599348534202,0.042601345916231,0.0739914512934914,0.0526458410530838,0.0456643620828465,0.0553712673339387,0.0570499195853352,0.0781571760363498,0.0469015245210791,0.054513398995552,0.0376114426533066,0.0428223076615709,0.0516787793330726
"8","E01000009",0.158430941088429,3.22262793442462,0.788417671202323,2.63033927121638,0.760338564591283,0.0312620609803165,0.0293851717902351,0.0354706684856753,0.0378120411160059,0.0277112555593568,0.0402358654179674,0.0472467709041468,0.0260249554367201,0.0464813205907906,0.0551181102362205,0.0439249025859015,0.042646254784035,0.0343904063957362,0.0323713610688076,0.0247674976062512,0.0308436249159246,0.0255625483990815,0.0353043399937214,0.0463048878314754,0.0295171518220622,0.0486984217357138,0.0615387539386567,0.0468835413152804,0.0376396410075738
"9","E01000010",0.154674957137291,3.27282287801145,0.800697891362433,2.74178566990863,0.792553798473013,0.0440517670482827,0.042582045023054,0.0489143998003494,0.0431551186765764,0.0437070938215103,0.04282719377059,0.0420722135007849,0.041268863566369,0.041234221598878,0.0547445255474453,0.0411195577055978,0.0505382775119617,0.0484678360922267,0.0409553584883188,0.0484744796122042,0.0472781493212224,0.0448313154776098,0.046854397225928,0.0521909234168846,0.0499637881989552,0.045006493178448,0.052870292878102,0.0527751732918147,0.0492977121616628
"10","E01000011",0.185060854072049,3.32387501109757,0.813187823398246,2.79657330195027,0.808390975813498,0.0574559946861508,0.0381917381137958,0.0519217801753203,0.0364583333333333,0.032844387755102,0.052003410059676,0.0353021045485404,0.0497826945871197,0.0424590888987174,0.0413348502085703,0.0526315789473684,0.0422993492407809,0.0680705999475441,0.0439662079821919,0.065983999693164,0.0424204259392023,0.037769609316225,0.0570572373131194,0.0534358846128227,0.0610715499885771,0.0537167256002422,0.0564460902546402,0.067807197180643,0.0373720494573084
