"","area_id","representativeness_norm","h_items","h_items_norm","f_tea_coffee_jan","f_tea_coffee_feb","f_tea_coffee_mar","f_tea_coffee_apr","f_tea_coffee_may","f_tea_coffee_jun","f_tea_coffee_jul","f_tea_coffee_aug","f_tea_coffee_sep","f_tea_coffee_oct","f_tea_coffee_nov","f_tea_coffee_dec"
"1","E01000001",0.284288112466415,3.08388323994057,0.754473706480771,0.00462249614791988,0.00438802695502272,0.0053639846743295,0.00423039375203384,0.00541434802225899,0.00489808816558698,0.00221434898139947,0.00338164251207729,0.0051150895140665,0.00716510903426791,0.00555462043427033,0.00546789564130605
"2","E01000002",0.211394099069902,3.10980799408879,0.760816211637415,0.0165707710011507,0.0106382978723404,0.00297988577104544,0.00446096654275093,0.00170399221032132,0.00208713801200104,0.00431523960935726,0.00229591836734694,0.00378071833648393,0.00293489861259338,0.00297538544766026,0.00359109408666507
"3","E01000003",0.242093642431441,3.24651508408476,0.794261675316335,0.00869427758457161,0.00616848783926683,0.00355706773894216,0.00354012137559002,0.00336473755047106,0.00424520292069961,0.00352348993288591,0.0030523995251823,0.00335274395623787,0.00378853108317548,0.00411753696425229,0.00465376023827252
"4","E01000005",0.412035836790827,3.19584185198246,0.781864441611625,0.00622285603163285,0.00499746505395814,0.00590462743084526,0.00501219181793552,0.00497801913628135,0.00510890024200054,0.00407598806317781,0.00451413637443573,0.00521739130434783,0.00399284042406719,0.00506186726659168,0.00523199779705356
"5","E01000006",0.165697600350299,3.19003131606505,0.780442890849433,0.00620017714791851,0.00569440050616893,0.00971135689236579,0.00540540540540541,0.00850133592421666,0.00485083676934271,0.0070082165297245,0.00624375624375624,0.00772659732540862,0.00973096737263881,0.00510204081632653,0.00591586327782647
"6","E01000007",0.160021269091707,3.2521685002039,0.795644786634703,0.00913473737630043,0.00708215297450425,0.00617283950617284,0.00321802091713596,0.00538423886441508,0.00718467269824375,0.00541027953110911,0.00485175202156334,0.00596125186289121,0.00768836494105587,0.0051656031601337,0.00612088752869166
"7","E01000008",0.180548666730835,3.3825397572016,0.827540185335824,0.009765625,0.00365764447695684,0.0081190798376184,0.00932711525649567,0.0108082706766917,0.00209863588667366,0.00518806744487678,0.0069060773480663,0.00126103404791929,0.00484261501210654,0.00492264416315049,0.00325732899022801
"8","E01000009",0.158430941088429,3.22262793442462,0.788417671202323,0.00733307603241992,0.00678119349005425,0.00306957708049113,0.00477239353891336,0.00547382825863839,0.00485605272285813,0.00305914343983685,0.0071301247771836,0.00477845351867941,0.00513522766175967,0.00389656393907191,0.0046473482777474
"9","E01000010",0.154674957137291,3.27282287801145,0.800697891362433,0.00846192135390742,0.010035259018172,0.00648864487147492,0.00527451450491489,0.00389016018306636,0.00958370769691524,0.00502354788069074,0.00431167231290422,0.00280504908835905,0.0059721300597213,0.00863856254319281,0.00927033492822966
"10","E01000011",0.185060854072049,3.32387501109757,0.813187823398246,0.0109598140152773,0.0109119251753702,0.00202292650033715,0.00186011904761905,0.00605867346938775,0.00369423131571469,0.00577053632043449,0.00513630975898854,0.00486510393631137,0.00227531285551763,0.0014756517461879,0.00216919739696312
"11","E01000012",0.171411480082022,3.1948081753287,0.781611552057906,0.0101522842639594,0.0104225352112676,0.00295143547088811,0.00385781206944062,0.00481540930979133,0.00467289719626168,0.00303183425972713,0.00309597523219814,0.00911772593188522,0.00957592339261286,0.00513112884834664,0.00423609149957639
"12","E01000013",0.0644720286471075,3.34450270108966,0.818234398937456,0.0134744947064485,0.00961538461538462,0.00272479564032698,0.00580912863070539,0.00254237288135593,0.00674373795761079,0.0081447963800905,0.00218340611353712,0.00818181818181818,0.00640113798008535,0.0207207207207207,0.00370919881305638
"13","E01000015",0.0768293860817296,3.23754448906091,0.792067014380627,0.00574241181296144,0.00486381322957199,0.00376293508936971,0.00308324768756423,0.00229621125143513,0.00195694716242661,0.00381970970206264,0.00698757763975155,0.00892857142857143,0.00757002271006813,0.00347523892267593,0.0058972198820556
"14","E01000017",0.0897030804782358,3.165015525276,0.774322764071376,0.00631313131313131,0.00329380764163373,0.00201884253028264,0.00357909806728704,0.0126509488211616,0.00350877192982456,0.00326157860404436,0.00347222222222222,0.00260416666666667,0.00303951367781155,0.00380807311500381,0.0076869322152341
"15","E01000018",0.0766075579282099,3.2458217257092,0.79409204481387,0.02,0.0119047619047619,0.0102362204724409,0.01015625,0.00747384155455904,0.00670241286863271,0.00831946755407654,0.00754716981132075,0.00329489291598023,0.00283018867924528,0.00897308075772682,0.00325732899022801
"16","E01000020",0.126694868227285,3.23607710956572,0.791708019191636,0.00641797031688728,0.00365497076023392,0.00757116898849182,0.0017636684303351,0.00291757840991977,0.00303720577069096,0.0117290957245554,0.00129032258064516,0.00643208475217556,0.00724137931034483,0.00481265039532485,0.00608779237423903
"17","E01000022",0.142549815154741,3.32824051775495,0.814255846968593,0.00988319856244385,0.0080040020010005,0.00682885189927443,0.00810681926561755,0.00758150113722517,0.00727802037845706,0.00664010624169987,0.00358606557377049,0.00723240115718418,0.00946969696969697,0.0054380664652568,0.00465116279069767
"18","E01000023",0.183487035851987,3.32373427698727,0.813153392721866,0.00889205050684688,0.00613695090439277,0.00489371463526533,0.00527868343424934,0.00560032782406775,0.00577949021932425,0.00669825191962098,0.0041056765440914,0.00767486481772196,0.00383014154870941,0.00557620817843866,0.00390859891761876
