"","area_id","representativeness_norm","h_items","h_items_norm","h_items_weight","h_items_weight_norm","f_grains_jan","f_grains_feb","f_grains_mar","f_grains_apr","f_grains_may","f_grains_jun","f_grains_jul","f_grains_aug","f_grains_sep","f_grains_oct","f_grains_nov","f_grains_dec","f_grains_weight_jan","f_grains_weight_feb","f_grains_weight_mar","f_grains_weight_apr","f_grains_weight_may","f_grains_weight_jun","f_grains_weight_jul","f_grains_weight_aug","f_grains_weight_sep","f_grains_weight_oct","f_grains_weight_nov","f_grains_weight_dec"
"1","E01000001",0.284288112466415,3.08388323994057,0.754473706480771,2.64636065817492,0.764969784029824,0.108936825885978,0.112834978843441,0.108505747126437,0.105109013992841,0.0995638441870958,0.0996997945963027,0.0994980808975494,0.0996779388083736,0.110726643598616,0.114797507788162,0.113953879818212,0.118731448211217,0.164356850202528,0.158444079482833,0.155379589168155,0.151279539319679,0.162057298281342,0.144289461523259,0.136311871706474,0.154373484059161,0.172540777489514,0.157843724927766,0.159286476474934,0.150677677948377
"2","E01000002",0.211394099069902,3.10980799408879,0.760816211637415,2.63574472312327,0.761901090607916,0.115304948216341,0.116031667491341,0.101316116215545,0.105576208178439,0.103213242453749,0.0944429950430472,0.0958437429025664,0.105357142857143,0.100425330812854,0.112326574172892,0.101974573978902,0.0960019152501796,0.136947984638904,0.14753048008539,0.128881711847555,0.145833133312799,0.137378045264887,0.130211986151163,0.126962091238193,0.142098098671418,0.129499405012918,0.131365262675078,0.125160061849061,0.136255319575771
"3","E01000003",0.242093642431441,3.24651508408476,0.794261675316335,2.73167110598593,0.789630033809416,0.121403730635473,0.13835037010927,0.118156510980513,0.127444369521241,0.120625841184388,0.114280862625233,0.109395973154362,0.127352891300661,0.119640021175225,0.134148441536077,0.134568594422609,0.126768428890544,0.165573834618942,0.189217013865706,0.183324289988922,0.180407122992257,0.192293539314895,0.186751673843765,0.180140806708427,0.190956633252621,0.164211777080494,0.164909794141257,0.17902016366911,0.164646165905643
"4","E01000005",0.412035836790827,3.19584185198246,0.781864441611625,2.74875538117434,0.794568496849521,0.133856226097102,0.137031940320127,0.138758744624864,0.134109997290707,0.145914145332299,0.12180693734875,0.126719557464153,0.134315355983211,0.13304347826087,0.137752994630318,0.132874015748032,0.129216577171967,0.201505408148317,0.179399228758912,0.181356537998033,0.182133417356957,0.23339346519646,0.168997593715174,0.17188898260401,0.203352475568057,0.192262366932008,0.202643714474914,0.196327205092528,0.166917962446955
"5","E01000006",0.165697600350299,3.19003131606505,0.780442890849433,2.71269236416487,0.78414394710118,0.160023619722468,0.131920278392914,0.141893714594011,0.16,0.131406363857178,0.138733931603202,0.140889318511358,0.134115884115884,0.137295690936107,0.133085289066972,0.136798469387755,0.136941279579316,0.207255620283933,0.209764537323602,0.205913288671338,0.251871965539436,0.207381872827177,0.257795281632652,0.240107574056411,0.209703920325316,0.288341771603951,0.319724199552502,0.292515555305133,0.230701155551119
"6","E01000007",0.160021269091707,3.2521685002039,0.795644786634703,2.66153190671062,0.769355258352822,0.164932758183202,0.154745042492918,0.162177328843996,0.168677929739877,0.153206069505629,0.159127195316658,0.151036970243463,0.16711590296496,0.161847988077496,0.138903126601743,0.134001823154057,0.144350930884978,0.309193699994379,0.286952308233784,0.261894861084514,0.346385041606997,0.246812641718371,0.300268240348169,0.224560888737423,0.267738401279176,0.322209465827533,0.312026022790156,0.234621370315355,0.247442270185057
"7","E01000008",0.180548666730835,3.3825397572016,0.827540185335824,2.76204754758435,0.798410794624217,0.1328125,0.149231894659839,0.158322056833559,0.151232511658894,0.142387218045113,0.150577124868835,0.14526588845655,0.158149171270718,0.148802017654477,0.156174334140436,0.179324894514768,0.159066232356135,0.340126755584546,0.24334469707535,0.205151839727696,0.236366730860932,0.249353209177516,0.278486297807554,0.231148731889683,0.331430350919612,0.294720703786531,0.299128121681745,0.317929168831048,0.279359691106673
"8","E01000009",0.158430941088429,3.22262793442462,0.788417671202323,2.63033927121638,0.760338564591283,0.145117715167889,0.172242314647378,0.16643929058663,0.158223201174743,0.156346219637359,0.146722164412071,0.157036029911625,0.14795008912656,0.154213727193745,0.133858267716535,0.153382925965285,0.131219245489338,0.264784810126582,0.367583056232359,0.37435135359048,0.286296087862562,0.347331280242432,0.358059584855229,0.343441689624503,0.305932942381477,0.334697738391163,0.287721618027112,0.322510150864449,0.239486108087678
"9","E01000010",0.154674957137291,3.27282287801145,0.800697891362433,2.74178566990863,0.792553798473013,0.144350423096068,0.1586655817738,0.145495383079611,0.152481419323903,0.137299771167048,0.132374962563642,0.145054945054945,0.171542962734832,0.136044880785414,0.145653616456536,0.149965445749827,0.135167464114833,0.225327889207301,0.282303183237052,0.235252959370988,0.276094806566535,0.282098170513741,0.259675113979702,0.217061222626928,0.272439463609695,0.242341169723067,0.282406244282538,0.248350287774007,0.205877580604561
"10","E01000011",0.185060854072049,3.32387501109757,0.813187823398246,2.79657330195027,0.808390975813498,0.149784124875457,0.171083398285269,0.167565745111261,0.149181547619048,0.14827806122449,0.155726058539358,0.146300067888663,0.161991307783485,0.142857142857143,0.171027682973075,0.134776192818495,0.147505422993492,0.250895332979889,0.260588990026769,0.256670670997789,0.236193816687826,0.286350913716046,0.305036369289577,0.255221283036435,0.244767653060543,0.18667939027294,0.316579920337103,0.228726374665505,0.230187782261484
"11","E01000012",0.171411480082022,3.1948081753287,0.781611552057906,2.65820283783549,0.768392941636632,0.160833555971146,0.178591549295775,0.138449154816206,0.141912372554423,0.15569823434992,0.144859813084112,0.142496210207175,0.164344685242518,0.148297130598016,0.173187414500684,0.151083238312429,0.140355831685964,0.250207340201191,0.280039214822547,0.303113244538381,0.254811675308448,0.250760258806238,0.317388005212929,0.23292409480833,0.316533173061341,0.293929615989721,0.349577010387927,0.249160600622506,0.225021161818648
"12","E01000013",0.0644720286471075,3.34450270108966,0.818234398937456,2.82999919284284,0.818053225158879,0.134744947064485,0.150961538461538,0.182561307901907,0.141078838174274,0.149152542372881,0.124277456647399,0.139366515837104,0.133187772925764,0.169090909090909,0.14153627311522,0.169369369369369,0.152077151335312,0.134870467567911,0.222574426795279,0.217287061829509,0.242781604203438,0.325279984465308,0.223650899577328,0.251634230150948,0.156935209300295,0.281102933561019,0.176783601975688,0.166508697374861,0.143263953344201
"13","E01000015",0.0768293860817296,3.23754448906091,0.792067014380627,2.81811704201549,0.814618513293689,0.223133716160788,0.22568093385214,0.196613358419567,0.178828365878726,0.206659012629162,0.183953033268102,0.154316271963331,0.174689440993789,0.159598214285714,0.196820590461771,0.19635099913119,0.144903117101938,0.262748694072898,0.215349083986143,0.202493031347537,0.182614757195533,0.280495640627568,0.241410007875097,0.22631076498787,0.188246142312412,0.242877150724971,0.244793176003237,0.264625853156732,0.236205236673294
"14","E01000017",0.0897030804782358,3.165015525276,0.774322764071376,2.62900314822062,0.759952338429574,0.148989898989899,0.152832674571805,0.148721399730821,0.122405153901217,0.148936170212766,0.135087719298246,0.13307240704501,0.150694444444444,0.135416666666667,0.155775075987842,0.124143183549124,0.114605171208945,0.32611631134578,0.352080729012848,0.384116634336891,0.207512968629365,0.340766841537577,0.296749916890305,0.24126198036531,0.26274071498949,0.366124658151022,0.264934955607874,0.210875108875518,0.158480947702095
